dra_id,dra_title,dra_year,dra_time,drama_url
85,Missing,2020,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BZTk1ZWJlZjEtM2M2My00YTVhLWFkY2QtMGRmODRmNzk5MDY3XkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_SY150_CR0,0,101,150_.jpg"
86,Rebel,2017,60 min.,"https://m.media-amazon.com/images/M/MV5BYWEyNzdhZTMtZDZlMC00NTZhLWEzMTQtZWQ4NWFmZmI0OGQ1XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SY150_CR127,0,101,150_.jpg"
87,Nobody Knows,2020,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BMjE5ZTA2YzQtM2M0My00OGNkLWE2YTAtYzA3YWE2YTQ0OWJmXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_SY150_CR2,0,101,150_.jpg"
88,I Hear Your Voice,2013,60 min.,"https://m.media-amazon.com/images/M/MV5BYTY0Zjg2ODgtYjRmYS00ODRmLWFiMTAtOTFkMGUxNzA2MjJiXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX101_CR0,0,101,150_.jpg"
89,Reply 1997,2012,60 min.,"https://m.media-amazon.com/images/M/MV5BYWM1ODM0ZTYtOGViMS00MGRlLTgzNGQtYWE4NGQ3ZmQ3ZDZmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY150_CR3,0,101,150_.jpg"
90,Kairos,2020,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BNmQ4MjBhNGMtZmQ4Mi00MjIwLTkwYzctOGU1OTIwNzJlYjVlXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SY150_CR2,0,101,150_.jpg"
91,Dali and the Cocky Prince,2021,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BOTg0NGM1MzAtYjNjMi00ODYwLTk4NjAtZmRjYjlmODk4YTZiXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
92,Yumi's Cells,2021,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BYjFmNTUyMmQtMGQ0Yy00YWY3LTkxOTEtMDQxZjIzNDE4NGVmXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
93,Arthdal Chronicles Part 1,2019,1 hr. 20 min.,"https://m.media-amazon.com/images/M/MV5BNzI1MjM5MDk4OF5BMl5BanBnXkFtZTgwMzgzMDIyNTE@._V1_SY150_CR0,0,101,150_.jpg"
94,Beautiful World,2019,60 min.,"https://m.media-amazon.com/images/M/MV5BYjY5MTdhY2YtODRhMi00ZjY4LTk1OGEtZWFkMmZhMDMyNWU2XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX101_CR0,0,101,150_.jpg"
